Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-11-16;20.9327;21.2093;20.7533;20.8333;86975175
2017-11-17;21.7113;21.778;20.8767;21.0033;205826835
2017-11-20;20.9193;21.0333;20.3167;20.5827;123630585
2017-11-21;20.724;21.2153;20.5807;21.1873;108859125
2017-11-22;21.118;21.1613;20.7893;20.84;73708515
2017-11-24;20.9193;21.094;20.7333;21.0367;48660975
2017-11-27;20.8833;21.156;20.634;21.1207;68082690
2017-11-28;21.0907;21.3333;20.928;21.174;74126535
2017-11-29;21.1533;21.2;20.082;20.5027;131368935
2017-11-30;20.5707;20.7133;20.3027;20.5967;65200050
2017-12-01;20.3627;20.688;20.3367;20.4353;64293345
2017-12-04;20.4333;20.551;20.0407;20.3467;87514875
2017-12-05;20.1333;20.5333;20.0667;20.2467;69657465
2017-12-06;20.0067;20.8927;20;20.8847;107788920
2017-12-07;20.8;21.2423;20.7367;20.7507;71694150
2017-12-08;20.9733;21.132;20.7507;21.0087;51993720
2017-12-11;20.9753;21.934;20.9167;21.9267;118919850
2017-12-12;22.03;22.7627;22.002;22.7353;130741725
2017-12-13;22.7287;22.948;22.4333;22.602;93268410
2017-12-14;22.734;23.1627;22.46;22.526;86886840
2017-12-15;22.8027;22.9267;22.384;22.8953;103866060
2017-12-18;22.9933;23.1153;22.5053;22.5873;82009680
2017-12-19;22.684;22.7663;22.02;22.066;102319185
2017-12-20;22.1793;22.2067;21.6693;21.932;89258550
2017-12-21;21.9727;22.2493;21.814;22.1107;65567475
2017-12-22;21.9673;22.0613;21.6547;21.68;63117150
2017-12-26;21.5887;21.5893;21.1053;21.1527;65549430
2017-12-27;21.0667;21.1667;20.7167;20.776;70578090
2017-12-28;20.7833;21.0547;20.636;21.024;64608075
2017-12-29;21.0787;21.094;20.6667;20.7567;56567070
2018-01-02;20.8;21.474;20.7333;21.3687;65188275
2018-01-03;21.4;21.6833;21.0367;21.15;66893295
2018-01-04;20.858;21.2367;20.3787;20.9747;149194260
2018-01-05;21.108;21.1493;20.8;21.1053;68838660
2018-01-08;21.0667;22.468;21.0333;22.4273;147555480
2018-01-09;22.344;22.5867;21.827;22.246;107019555
2018-01-10;22.1467;22.4667;22;22.32;64569705
2018-01-11;22.3493;22.9873;22.2173;22.53;99624465
2018-01-12;22.5753;22.694;22.2447;22.4147;72341715
